date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:29	1719/1719	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622e-6b7%22	https://wavegp.com/wp-content/plugins/wave-essential/assets/libs/slick/slick.min.css?ver=1.8.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/wave-essential/assets/libs/slick/slick.minee8b.css	(from https://wavegp.com/)
11:50:30	3191/3191	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622e-c77%22	https://wavegp.com/wp-content/plugins/wave-essential/assets/css/dm-essential-front.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/wave-essential/assets/css/dm-essential-front6a4d.css	(from https://wavegp.com/)
11:50:30	19050/19050	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622e-4a6a%22	https://wavegp.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from https://wavegp.com/)
11:50:30	13805/13805	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622f-35ed%22	https://wavegp.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.5.6	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min10cb.css	(from https://wavegp.com/)
11:50:30	137254/137254	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622f-21826%22	https://wavegp.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.5.6	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/elementor/assets/css/frontend.min10cb.css	(from https://wavegp.com/)
11:50:31	18786/18786	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff6810-4962%22	https://wavegp.com/wp-content/plugins/wave-essential/elementor/assets/css/dm-widgets.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/wave-essential/elementor/assets/css/dm-widgets5152.css	(from https://wavegp.com/)
11:50:32	3020/3020	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-bcc%22	https://wavegp.com/wp-content/themes/wave-adwivo/core/assets/css/print.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/core/assets/css/print5152.css	(from https://wavegp.com/)
11:50:32	15142/15142	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-3b26%22	https://wavegp.com/wp-content/themes/wave-adwivo/core/assets/font/socicon/style.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/core/assets/font/socicon/style5152.css	(from https://wavegp.com/)
11:50:32	342622/342622	---M--	200	added ('OK')	image/jpeg	etag:%2263ff6229-53a5e%22	https://wavegp.com/wp-content/uploads/2023/02/water-scaled.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/water-scaled.jpg	(from https://wavegp.com/)
11:50:33	12471/12471	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-30b7%22	https://wavegp.com/wp-content/themes/wave-adwivo/core/assets/css/defaults.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/core/assets/css/defaults5152.css	(from https://wavegp.com/)
11:50:33	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-2606e%22	https://wavegp.com/wp-content/themes/wave-adwivo/libs/bootstrap/css/bootstrap.min.css?ver=4.3.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/libs/bootstrap/css/bootstrap.min5b31.css	(from https://wavegp.com/)
11:50:33	15823/15823	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-3dcf%22	https://wavegp.com/wp-content/themes/wave-adwivo/core/assets/libs/select2/css/select2.min.css?ver=4.1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/core/assets/libs/select2/css/select2.minbfce.css	(from https://wavegp.com/)
11:50:34	13597/13597	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-351d%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/css/blocks.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/css/blocks5152.css	(from https://wavegp.com/)
11:50:35	145314/145314	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622c-237a2%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/css/main.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/css/main5152.css	(from https://wavegp.com/)
11:50:35	2998/2998	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622c-bb6%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/Mulish/mulish-font.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/Mulish/mulish-font6a4d.css	(from https://wavegp.com/)
11:50:36	1101/1101	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-44d%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/Telegraf/fonts.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/Telegraf/fonts6a4d.css	(from https://wavegp.com/)
11:50:36	64610/64610	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-fc62%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/MaterialDesign/css/materialdesignicons.min.css?ver=6.1.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/MaterialDesign/css/materialdesignicons.min6a4d.css	(from https://wavegp.com/)
11:50:37	1196/1196	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-4ac%22	https://wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/icomoon/icomoon.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/assets/fonts/icomoon/icomoon5152.css	(from https://wavegp.com/)
11:50:37	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622b-14f%22	https://wavegp.com/wp-content/themes/wave-adwivo/style.css?ver=1.0	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/themes/wave-adwivo/style5152.css	(from https://wavegp.com/)
11:50:38	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622f-e238%22	https://wavegp.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://wavegp.com/)
11:50:39	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff622e-29d%22	https://wavegp.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://wavegp.com/)
11:50:39	89684/89684	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ff6227-15e54%22	https://wavegp.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://wavegp.com/)
11:50:40	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ff6227-2bd8%22	https://wavegp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://wavegp.com/)
11:50:40	196506/196506	---MCZ	200	added ('OK')	application/json	date:Sun,%2014%20May%202023%2010:50:35%20GMT	https://wavegp.com/wp-json/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-json/index.html	(from https://wavegp.com/)
11:50:41	222203/222203	---MCZ	200	added ('OK')	application/json	date:Sun,%2014%20May%202023%2010:50:35%20GMT	https://wavegp.com/wp-json/wp/v2/pages/2	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-json/wp/v2/pages/2.json	(from https://wavegp.com/)
11:50:41	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2014%20May%202023%2010:50:36%20GMT	https://wavegp.com/xmlrpc.php?rsd	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/xmlrpc0db0.php	(from https://wavegp.com/)
11:50:42	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2263ff6227-415%22	https://wavegp.com/wp-includes/wlwmanifest.xml	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-includes/wlwmanifest.xml	(from https://wavegp.com/)
11:50:43	2297/2297	---MCZ	200	added ('OK')	application/json	date:Sun,%2014%20May%202023%2010:50:37%20GMT	https://wavegp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwavegp.com%2F	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-json/oembed/1.0/embed17ea.json	(from https://wavegp.com/)
11:50:44	2372/2372	---MCZ	200	added ('OK')	text/xml	date:Sun,%2014%20May%202023%2010:50:38%20GMT	https://wavegp.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwavegp.com%2F&format=xml	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-json/oembed/1.0/embed1320	(from https://wavegp.com/)
11:50:44	16/16	---M--	200	added ('OK')	text/javascript	date:Sun,%2014%20May%202023%2010:50:39%20GMT	https://secure.barn5bake.com/js/259325.js	C:/Users/ADMIN/Documents/wavegp.com/secure.barn5bake.com/js/259325.js	(from https://wavegp.com/)
11:50:45	0/0	---M--	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:39%20GMT	https://secure.barn5bake.com/259325.png	C:/Users/ADMIN/Documents/wavegp.com/secure.barn5bake.com/259325.png	(from https://wavegp.com/)
11:50:45	456/456	---M--	200	added ('OK')	image/png	etag:%2263ff6228-1c8%22	https://wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-32x32.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-32x32.png	(from https://wavegp.com/)
11:50:46	1717/1717	---M--	200	added ('OK')	image/png	etag:%2263ff6228-6b5%22	https://wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-192x192.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-192x192.png	(from https://wavegp.com/)
11:50:46	1571/1571	---M--	200	added ('OK')	image/png	etag:%2263ff6228-623%22	https://wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-180x180.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/cropped-Untitled-design-7-180x180.png	(from https://wavegp.com/)
11:50:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2014%20May%202023%2010:50:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/ADMIN/Documents/wavegp.com/www.googletagmanager.com/gtm.285445.delayed	(from https://wavegp.com/)
11:50:49	14727/14727	---M--	200	added ('OK')	image/png	etag:%2263ff6228-3987%22	https://wavegp.com/wp-content/uploads/2023/02/cropped-cropped-Main_TwoColor_Dark.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/cropped-cropped-Main_TwoColor_Dark.png	(from https://wavegp.com/)
11:50:49	6588/6588	---M--	200	added ('OK')	image/png	etag:%2263ff6228-3047%22	https://wavegp.com/wp-content/uploads/2023/02/Stacked_TwoColor_Light.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2023/02/Stacked_TwoColor_Light.png	(from https://wavegp.com/)
11:50:50	22600/22600	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-5848%22	https://wavegp.com/wp-content/uploads/2020/11/forbes-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/forbes-logo-black.svg	(from https://wavegp.com/)
11:50:51	130880/130880	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:44%20GMT	https://wavegp.com/funds/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/index.html	(from https://wavegp.com/)
11:50:52	211577/211577	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:45%20GMT	https://wavegp.com/funds/venture/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/venture/index.html	(from https://wavegp.com/)
11:50:52	223840/223840	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:45%20GMT	https://wavegp.com/funds/wave-kentucky-whiskey/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/wave-kentucky-whiskey/index.html	(from https://wavegp.com/)
11:50:53	227855/227855	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:45%20GMT	https://wavegp.com/funds/wave-btc-income-growth/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/wave-btc-income-growth/index.html	(from https://wavegp.com/)
11:50:54	22600/22600	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-5848%22	https://wavegp.com/wp-content/uploads/2020/11/forbes-logo-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/forbes-logo-color.svg	(from https://wavegp.com/)
11:50:54	250449/250449	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:47%20GMT	https://wavegp.com/funds/wealth-management/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/wealth-management/index.html	(from https://wavegp.com/)
11:50:55	268482/268482	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:47%20GMT	https://wavegp.com/funds/protocol-inventory-management/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/protocol-inventory-management/index.html	(from https://wavegp.com/)
11:50:55	216343/216343	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:48%20GMT	https://wavegp.com/funds/index-fund/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/index-fund/index.html	(from https://wavegp.com/)
11:50:56	179514/179514	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:49%20GMT	https://wavegp.com/funds/nft-fund/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/funds/nft-fund/index.html	(from https://wavegp.com/)
11:50:56	4291/4291	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622a-10c3%22	https://wavegp.com/wp-content/uploads/2020/11/Bloomberg-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/Bloomberg-logo-black.svg	(from https://wavegp.com/)
11:50:56	220478/220478	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:50%20GMT	https://wavegp.com/research/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/research/index.html	(from https://wavegp.com/)
11:50:57	220576/220576	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:50%20GMT	https://wavegp.com/bitcoin-research/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/bitcoin-research/index.html	(from https://wavegp.com/)
11:50:57	220048/220048	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:51%20GMT	https://wavegp.com/ethereum-research-paper/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/ethereum-research-paper/index.html	(from https://wavegp.com/)
11:50:58	4291/4291	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622a-10c3%22	https://wavegp.com/wp-content/uploads/2020/11/Bloomberg-logo-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/Bloomberg-logo-color.svg	(from https://wavegp.com/)
11:50:59	134054/134054	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:52%20GMT	https://wavegp.com/media/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/media/index.html	(from https://wavegp.com/)
11:50:59	220848/220848	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:52%20GMT	https://wavegp.com/stablecoin-research/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/stablecoin-research/index.html	(from https://wavegp.com/)
11:50:59	220164/220164	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:52%20GMT	https://wavegp.com/cardano-research/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/cardano-research/index.html	(from https://wavegp.com/)
11:51:00	98985/98985	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:53%20GMT	https://wavegp.com/about/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/about/index.html	(from https://wavegp.com/)
11:51:00	3582/3582	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-dfe%22	https://wavegp.com/wp-content/uploads/2020/11/cnbc-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/cnbc-logo-black.svg	(from https://wavegp.com/)
11:51:01	236346/236346	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:54%20GMT	https://wavegp.com/team/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/team/index.html	(from https://wavegp.com/)
11:51:01	102346/102346	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:54%20GMT	https://wavegp.com/careers/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/careers/index.html	(from https://wavegp.com/)
11:51:01	85598/85598	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:54%20GMT	https://wavegp.com/contact/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/contact/index.html	(from https://wavegp.com/)
11:51:02	76993/76993	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2010:50:55%20GMT	https://wavegp.com/invest/	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/invest/index.html	(from https://wavegp.com/)
11:51:02	4591/4591	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-11ef%22	https://wavegp.com/wp-content/uploads/2020/11/cnbc-logo-color-1.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/cnbc-logo-color-1.svg	(from https://wavegp.com/)
11:51:02	34677/34677	---M--	200	added ('OK')	image/png	etag:%2263ff6229-8775%22	https://wavegp.com/wp-content/uploads/2021/04/The_Wall_Street_Journal_logo_wordmark_c.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2021/04/The_Wall_Street_Journal_logo_wordmark_c.png	(from https://wavegp.com/)
11:51:03	130510/130510	---M--	200	added ('OK')	image/png	etag:%2263ff622a-1fdce%22	https://wavegp.com/wp-content/uploads/2021/04/The_Wall_Street_Journal_logo_wordmark.png	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2021/04/The_Wall_Street_Journal_logo_wordmark.png	(from https://wavegp.com/)
11:51:04	12793/12793	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-31f9%22	https://wavegp.com/wp-content/uploads/2020/11/institutional-investor-logo-2-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/institutional-investor-logo-2-black.svg	(from https://wavegp.com/)
11:51:05	12766/12766	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-31de%22	https://wavegp.com/wp-content/uploads/2020/11/institutional-investor-logo-1-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/institutional-investor-logo-1-color.svg	(from https://wavegp.com/)
11:51:05	8280/8280	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-2058%22	https://wavegp.com/wp-content/uploads/2020/11/barrons-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/barrons-logo-black.svg	(from https://wavegp.com/)
11:51:05	8280/8280	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-2058%22	https://wavegp.com/wp-content/uploads/2020/11/barrons-logo-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/barrons-logo-color.svg	(from https://wavegp.com/)
11:51:06	14395/14395	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-383b%22	https://wavegp.com/wp-content/uploads/2020/11/coindesk-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/coindesk-logo-black.svg	(from https://wavegp.com/)
11:51:07	14558/14558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-38de%22	https://wavegp.com/wp-content/uploads/2020/11/coindesk-logo-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/coindesk-logo-color.svg	(from https://wavegp.com/)
11:51:07	14516/14516	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-38b4%22	https://wavegp.com/wp-content/uploads/2020/11/coin-telegraph-logo-black.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/coin-telegraph-logo-black.svg	(from https://wavegp.com/)
11:51:08	14575/14575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ff622b-38ef%22	https://wavegp.com/wp-content/uploads/2020/11/coin-telegraph-logo-color.svg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/coin-telegraph-logo-color.svg	(from https://wavegp.com/)
11:51:09	81636/81636	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-13ee4%22	https://wavegp.com/wp-content/uploads/2020/11/image-14-10.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/image-14-10.jpg	(from https://wavegp.com/)
11:51:10	114330/114330	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-1be9a%22	https://wavegp.com/wp-content/uploads/2020/11/image-14-3.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/image-14-3.jpg	(from https://wavegp.com/)
11:51:11	127963/127963	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-1f3db%22	https://wavegp.com/wp-content/uploads/2020/11/image-14-7.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/image-14-7.jpg	(from https://wavegp.com/)
11:51:12	106369/106369	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-19f81%22	https://wavegp.com/wp-content/uploads/2020/11/image-14.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/image-14.jpg	(from https://wavegp.com/)
11:51:13	116943/116943	---M--	200	added ('OK')	image/jpeg	etag:%2263ff622b-1c8cf%22	https://wavegp.com/wp-content/uploads/2020/11/image-14-4.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2020/11/image-14-4.jpg	(from https://wavegp.com/)
11:51:14	192937/192937	---M--	200	added ('OK')	image/jpeg	etag:%2263ff6229-2f1a9%22	https://wavegp.com/wp-content/uploads/2022/10/Profile-e1667340053928.jpg	C:/Users/ADMIN/Documents/wavegp.com/wavegp.com/wp-content/uploads/2022/10/Profile-e1667340053928.jpg	(from https://wavegp.com/)
